,Timestep,Date,Activity
0,296,2023-01-01 04:56:00,do laundry 30°C with mini washing machine
1,311,2023-01-01 05:11:00,go to the toilet
2,317,2023-01-01 05:17:00,make smoothie
3,323,2023-01-01 05:23:00,talk with friends on the phone
4,354,2023-01-01 05:54:00,get ready in the morning (men)
5,364,2023-01-01 06:04:00,practice generic music instrument (1 h)
6,427,2023-01-01 07:07:00,hang up laundry outside
7,452,2023-01-01 07:32:00,watch the news
8,469,2023-01-01 07:49:00,iron and watch TV with Sat Reciever (1 h)
9,525,2023-01-01 08:45:00,eat very small breakfast (5 min)
10,530,2023-01-01 08:50:00,run vacuum cleaner robot
11,539,2023-01-01 08:59:00,watch TV (1 h)
12,602,2023-01-01 10:02:00,go to the toilet
13,607,2023-01-01 10:07:00,watch a movie for 2 h
14,661,2023-01-01 11:01:00,cook weekend lunch for the family
15,858,2023-01-01 14:18:00,talk with friends on the phone
16,886,2023-01-01 14:46:00,cook coffee
17,896,2023-01-01 14:56:00,watch sports on TV with SAT Reciever (2 h)
18,1050,2023-01-01 17:30:00,take singing lessons
19,1178,2023-01-01 19:38:00,go to the toilet
20,1183,2023-01-01 19:43:00,watch the news
21,1198,2023-01-01 19:58:00,watch a movie for 1 h 30 min
22,1279,2023-01-01 21:19:00,sleep bed 02 (06 h)
23,1639,2023-01-02 03:19:00,go to the toilet
24,1645,2023-01-02 03:25:00,make smoothie
25,1651,2023-01-02 03:31:00,talk with friends on the phone
26,1681,2023-01-02 04:01:00,watch TV (1 h)
27,1748,2023-01-02 05:08:00,work at the office (09 h)
28,2315,2023-01-02 14:35:00,go to the toilet
29,2320,2023-01-02 14:40:00,do laundry 60°C with mini washing machine
30,2334,2023-01-02 14:54:00,take a shower (men)
31,2354,2023-01-02 15:14:00,make smoothie
32,2360,2023-01-02 15:20:00,practice generic music instrument (1 h)
33,2425,2023-01-02 16:25:00,hang up laundry outside
34,2454,2023-01-02 16:54:00,go shopping for food in the supermarket (1_5 h)
35,2546,2023-01-02 18:26:00,do laundry 30°C with mini washing machine
36,2563,2023-01-02 18:43:00,talk with friends on the phone
37,2593,2023-01-02 19:13:00,run the dishwasher (triggered)
38,2609,2023-01-02 19:29:00,go to the toilet
39,2615,2023-01-02 19:35:00,listen to music on hifi (2 h)
40,2733,2023-01-02 21:33:00,sleep bed 02 (06 h)
41,3097,2023-01-03 03:37:00,hang up laundry outside
42,3128,2023-01-03 04:08:00,make smoothie
43,3133,2023-01-03 04:13:00,iron and watch TV with Sat Reciever (1 h)
44,3193,2023-01-03 05:13:00,work at the office (09 h)
45,3674,2023-01-03 13:14:00,go to the toilet
46,3679,2023-01-03 13:19:00,cook coffee
47,3690,2023-01-03 13:30:00,talk with friends on the phone
48,3721,2023-01-03 14:01:00,go to horse riding lessons
49,3900,2023-01-03 17:00:00,make smoothie
50,3905,2023-01-03 17:05:00,practice generic music instrument (1 h)
51,3974,2023-01-03 18:14:00,bake a cake
52,4009,2023-01-03 18:49:00,do laundry 30°C with mini washing machine
53,4026,2023-01-03 19:06:00,watch the news
54,4041,2023-01-03 19:21:00,go to the toilet
55,4047,2023-01-03 19:27:00,watch a movie for 1 h 30 min
56,4131,2023-01-03 20:51:00,hang up laundry outside
57,4160,2023-01-03 21:20:00,sleep bed 02 (06 h)
58,4517,2023-01-04 03:17:00,make smoothie
59,4522,2023-01-04 03:22:00,talk with friends on the phone
60,4550,2023-01-04 03:50:00,watch sports on TV with SAT Reciever (2 h)
61,4662,2023-01-04 05:42:00,work at the office (09 h)
62,5138,2023-01-04 13:38:00,go to the toilet
63,5142,2023-01-04 13:42:00,make smoothie
64,5148,2023-01-04 13:48:00,bake bread
65,5216,2023-01-04 14:56:00,cook coffee
66,5226,2023-01-04 15:06:00,run the dishwasher (triggered)
67,5239,2023-01-04 15:19:00,take a shower (men)
68,5260,2023-01-04 15:40:00,talk with friends on the phone
69,5291,2023-01-04 16:11:00,run vacuum cleaner robot
70,5303,2023-01-04 16:23:00,watch the news
71,5317,2023-01-04 16:37:00,watch TV (1 h)
72,5383,2023-01-04 17:43:00,go shopping for food in the supermarket (1_5 h)
73,5446,2023-01-04 18:46:00,go to the toilet
74,5451,2023-01-04 18:51:00,practice generic music instrument (1 h)
75,5505,2023-01-04 19:45:00,listen to music on hifi (2 h)
76,5631,2023-01-04 21:51:00,sleep bed 02 (06 h)
77,5988,2023-01-05 03:48:00,do laundry 30°C with mini washing machine
78,6004,2023-01-05 04:04:00,make smoothie
79,6010,2023-01-05 04:10:00,talk with friends on the phone
80,6040,2023-01-05 04:40:00,go to the toilet
81,6045,2023-01-05 04:45:00,watch a movie for 2 h
82,6170,2023-01-05 06:50:00,work at the office (09 h)
83,6705,2023-01-05 15:45:00,go to the toilet
84,6710,2023-01-05 15:50:00,hang up laundry outside
85,6744,2023-01-05 16:24:00,make smoothie
86,6750,2023-01-05 16:30:00,iron Clothes
87,6809,2023-01-05 17:29:00,take singing lessons
88,6926,2023-01-05 19:26:00,talk with friends on the phone
89,6959,2023-01-05 19:59:00,practice generic music instrument (1 h)
90,7029,2023-01-05 21:09:00,go to the toilet
91,7035,2023-01-05 21:15:00,sleep bed 02 (06 h)
92,7410,2023-01-06 03:30:00,go to the toilet
93,7416,2023-01-06 03:36:00,make smoothie
94,7421,2023-01-06 03:41:00,watch sports on TV with SAT Reciever (2 h)
95,7525,2023-01-06 05:25:00,work at the office (09 h)
96,8136,2023-01-06 15:36:00,do laundry 60°C with mini washing machine
97,8152,2023-01-06 15:52:00,go to the toilet
98,8158,2023-01-06 15:58:00,cook coffee
99,8168,2023-01-06 16:08:00,make smoothie
100,8174,2023-01-06 16:14:00,talk with friends on the phone
101,8204,2023-01-06 16:44:00,go to horse riding lessons
102,8388,2023-01-06 19:48:00,hang up laundry outside
103,8413,2023-01-06 20:13:00,go to the toilet
104,8419,2023-01-06 20:19:00,do laundry 30°C with mini washing machine
105,8435,2023-01-06 20:35:00,take a shower (men)
106,8453,2023-01-06 20:53:00,practice generic music instrument (1 h)
107,8506,2023-01-06 21:46:00,sleep bed 02 (06 h)
108,8881,2023-01-07 04:01:00,go to the toilet
109,8886,2023-01-07 04:06:00,make smoothie
110,8891,2023-01-07 04:11:00,hang up laundry outside
111,8918,2023-01-07 04:38:00,talk with friends on the phone
112,8949,2023-01-07 05:09:00,iron and watch TV with Sat Reciever (1 h)
113,9016,2023-01-07 06:16:00,get ready in the morning (men)
114,9027,2023-01-07 06:27:00,do laundry 30°C with mini washing machine
115,9043,2023-01-07 06:43:00,listen to music on hifi (2 h)
116,9172,2023-01-07 08:52:00,run the dishwasher (triggered)
117,9188,2023-01-07 09:08:00,go shopping for food in the supermarket (1_5 h)
118,9289,2023-01-07 10:49:00,go to the toilet
119,9294,2023-01-07 10:54:00,hang up laundry outside
120,9325,2023-01-07 11:25:00,cook weekend lunch for the family
121,9445,2023-01-07 13:25:00,talk with friends on the phone
122,9477,2023-01-07 13:57:00,watch sports on TV with SAT Reciever (2 h)
123,9605,2023-01-07 16:05:00,cook coffee
124,9615,2023-01-07 16:15:00,run vacuum cleaner robot
125,9625,2023-01-07 16:25:00,watch sports on TV with DVB-T (2 h)
126,9750,2023-01-07 18:30:00,go to the toilet
127,9756,2023-01-07 18:36:00,visit the cinema
128,9947,2023-01-07 21:47:00,sleep bed 02 (06 h)
